name,score,polarity score,location,latitude,longitude,image_source
Hotel lebua at State Tower (The World�s First Vertical Destination),8.8,4.2625,"State Tower 1055/111 Silom Road, Bangrak, Bang Rak, 10500 Bangkok, Thailand",13.72183665,100.516904,https://cf.bstatic.com/images/hotel/max1024x768/264/264589244.jpg
Hotel Millennium Hilton Bangkok,8.4,2.263,"123 Charoennakorn Road, Klongtonsai, Klongsan, 10600 Bangkok, Thailand",13.72874936,100.51077515,https://cf.bstatic.com/images/hotel/max1024x768/282/282915292.jpg
Hotel Bangkok Marriott Hotel Sukhumvit,8.9,4.8755,"2 Sukhumvit Soi 57, Klongtan Nua, Wattana, Wattana, 10110 Bangkok, Thailand",13.72339222,100.5804804,https://cf.bstatic.com/images/hotel/max1024x768/101/101670168.jpg
Hotel Novotel Bangkok Platinum Pratunam - SHA Certified,8.5,2.16,"220 Petchaburi Road, Ratchathewi, 10400 Bangkok, Thailand",13.74976501,100.54007292,https://cf.bstatic.com/images/hotel/max1024x768/269/269881940.jpg
Hotel Pathumwan Princess Hotel,8.9,3.747500000000001,"444 MBK Centre, Phayathai Road, Pathumwan, Pathumwan, 10330 Bangkok, Thailand",13.74307439,100.52990735,https://cf.bstatic.com/images/hotel/max1024x768/266/266335602.jpg
Hotel Chatrium Hotel Riverside Bangkok,9.1,3.715,"28 Chareonkrung Soi 70, Bangkholame, Bang Kho Laem, 10120 Bangkok, Thailand",13.70999104,100.51109165,https://cf.bstatic.com/images/hotel/max1024x768/216/216500882.jpg
Hotel Carlton Hotel Bangkok Sukhumvit,9.3,4.537,"Carlton Hotel Bangkok Sukhumvit, 491 Sukhumvit Rd. Klongtoey Nua, Wattana, Wattana, 10110 Bangkok, Thailand",13.73437351,100.56448141,https://cf.bstatic.com/images/hotel/max1024x768/266/266929171.jpg
Hotel Novotel Bangkok Sukhumvit 20 - SHA Certified,9.0,4.005999999999999,"19/9 Soi Sukhumvit 20 Kwang Klongtoey, Khet Klongtoey, Khlong Toei, 10110 Bangkok, Thailand",13.731522,100.564021,https://cf.bstatic.com/images/hotel/max1024x768/268/268960932.jpg
Hotel Royal Orchid Sheraton Hotel and Towers,8.6,4.2625,"2 Charoen Krung Road Soi 30 (Captain Bush Lane), Bang Rak, 10500 Bangkok, Thailand",13.7291923,100.51384091,https://cf.bstatic.com/images/hotel/max1024x768/253/253636297.jpg
"Hotel InterContinental Bangkok, an IHG Hotel",8.9,0.0,"973 Phloen Chit Road, Pathumwan, 10330 Bangkok, Thailand",13.74469495,100.5414328,https://cf.bstatic.com/images/hotel/max1024x768/285/285185343.jpg
"Hotel Shangri-La Hotel, Bangkok",8.9,2.96,"89 Soi Wat Suan Plu, Bangrak, Bang Rak, 10500 Bangkok, Thailand",13.72126601,100.51456511,https://cf.bstatic.com/images/hotel/max1024x768/295/295682642.jpg
Hotel Bangkok Marriott Marquis Queen�s Park,8.7,2.346,"199 Sukhumvit Soi 22, Klong Ton Klong Toey, Khlong Toei, 10110 Bangkok, Thailand",13.73031302,100.56533614,https://cf.bstatic.com/images/hotel/max1024x768/262/262276007.jpg
Hotel Centre Point Sukhumvit 10,8.6,4.404,"39, Sukhumvit Soi 10, Sukhumvit Road, Klongtoey, Khlong Toei, 10110 Bangkok, Thailand",13.73493492,100.55719078,https://cf.bstatic.com/images/hotel/max1024x768/101/101395963.jpg
Hotel Oakwood Suites Bangkok - SHA Certified,9.1,3.612,"20 Soi Sukhumvit 24, Sukhumvit Road Khlong Tan, Khlong Toei, Khlong Toei, 10110 Bangkok, Thailand",13.72850346,100.56877247,https://cf.bstatic.com/images/hotel/max1024x768/267/267813721.jpg
"Apartments
The Quarter Ploenchit by UHG",8.9,3.738,"Phloen Chit Road 1, Pathumwan, 10330 Bangkok, Thailand",13.73874938,100.5491818,https://cf.bstatic.com/images/hotel/max1024x768/278/278413714.jpg
Hotel SureStay Plus by Best Western Sukhumvit 2,8.7,4.4,"89 Sukhumvit Road, Soi 2, Klong Toey, Khlong Toei, 10110 Bangkok, Thailand",13.7392718,100.55199409,https://cf.bstatic.com/images/hotel/max1024x768/115/115788745.jpg
Hotel The Continent Hotel Bangkok by Compass Hospitality,8.2,2.7435,"413 Sukhumvit Road (Between Sukhumvit Soi 21 and Sukhumvit Soi 23), Klongtoey Nua, Wattana, Bangkok, Wattana, 10110 Bangkok, Thailand",13.73610479,100.5618833,https://cf.bstatic.com/images/hotel/max1024x768/280/280068659.jpg
Hotel Asoke Residence Sukhumvit by UHG,8.4,2.96,"235/20-25 Sukhumvit Soi 21 (Asoke), Klongtoey Nua, Wattana, Wattana, 10110 Bangkok, Thailand",13.7464588,100.5616942,https://cf.bstatic.com/images/hotel/max1024x768/291/291829905.jpg
Hotel The Quarter Ladprao by UHG,8.9,4.215,"80 Soi Ladprao 4, Ladprao Road, Chom Phon, Chatuchak, Chatuchak, 10400 Bangkok, Thailand",13.81210535,100.56210887,https://cf.bstatic.com/images/hotel/max1024x768/202/202966994.jpg
